,month,jobs_total,jobs_goods,jobs_service,pch_total,pch_goods,pch_service,delta_total,delta_goods,delta_service,delta_service,jobs_resource,jobs_manufacturing,jobs_trade,jobs_professional,pch_resource,pch_manufacturing,pch_trade,pch_professional,delta_resource,delta_manufacturing,delta_trade,delta_professional,state,hc-key
114,2014M07,42002.0,7046.996068401755,34955.40321044276,0.21891181706303886,0.17241467390478604,0.22829085225002377,91.74736963740725,12.129142869292991,79.61822676811425,,2978.2505451435754,4068.7455232581797,9818.371923466984,6979.103899174462,0.24981527253451485,0.11583450856880173,0.25690163242912956,0.27550036873675854,7.421584464654643,4.7075584046378935,25.158924062730875,19.174630798194812,CSOR,us-csor
115,2014M08,42091.0,7067.07243096644,35023.74412094912,0.21050529157649045,0.28489248993206484,0.19550886051844518,88.41727307104884,20.07636256468504,68.34091050636198,,2989.8741762021095,4077.1982547643306,9832.86088625372,6995.49560273486,0.3902838556510302,0.20774785392285722,0.14756991179063483,0.2348683125685591,11.623631058534102,8.45273150615094,14.48896278673601,16.391703560398128,CSOR,us-csor
116,2014M09,42179.0,7088.427021592275,35090.576501992444,0.20951594407863094,0.3021702527380876,0.1908202070359133,88.18697166915081,21.354590625835044,66.83238104332122,,3002.4902237584306,4085.9367978338446,9849.26662377796,7009.447480502017,0.4219591465332684,0.21432715613725062,0.16684602491605638,0.19944087680796585,12.616047556321064,8.73854306951398,16.405737524239157,13.951877767157384,CSOR,us-csor
117,2014M10,42271.0,7105.396254081608,35165.97577120064,0.2189916640536138,0.2393934851504076,0.21487042027912295,92.3685016975287,16.96923248933308,75.39926920819562,,3016.321219543026,4089.0750345385827,9877.339714691669,7021.147163010858,0.4606508182825042,0.07680580635514023,0.2850272206657012,0.16691304901541582,13.830995784595416,3.1382367047381194,28.073090913709166,11.699682508840851,CSOR,us-csor
118,2014M11,42384.0,7125.580671496856,35258.43064173567,0.2664670734673802,0.284071664597918,0.26291001033660333,112.63928795027459,20.18441741524748,92.45487053503166,,3028.8661505236946,4096.714520973161,9909.224758373117,7039.723852011327,0.41590169174916536,0.18682676082122374,0.3228100339003337,0.2645819631631685,12.544930980668596,7.639486434577975,31.885043681448224,18.576689000468832,CSOR,us-csor
119,2014M12,42500.0,7151.088127534421,35348.96110489406,0.2737775769697359,0.3579702092153303,0.2567625997829337,116.03791919595096,25.507456037565134,90.53046315838583,,3041.5484086145602,4109.53971891986,9931.642606486412,7064.827281950944,0.41871305830640804,0.31306057283320143,0.22623210856482778,0.3565967993537811,12.682258090865616,12.825197946699518,22.417848113294895,25.103429939616944,CSOR,us-csor
120,2015M01,42578.0,7155.133250569132,35423.19951168134,0.18419632738275737,0.05656653872205819,0.21001580942361375,78.28352982200158,4.045123034710741,74.23840678728448,,3040.8871271120506,4114.246123457082,9953.858418961772,7080.091815124416,-0.021741607026104504,0.1145238848904162,0.2236871920950012,0.21606378421266115,-0.6612815025096097,4.706404537221715,22.215812475360508,15.264533173472046,CSOR,us-csor
121,2015M02,42664.0,7158.8134855726175,35504.709461091545,0.20007872287857165,0.051434891211754596,0.23010329539352448,85.19018441369553,3.6802350034859046,81.50994941020326,,3040.370090926632,4118.443394645985,9976.375418035697,7094.944711768033,-0.017002807529709063,0.10201798975935095,0.2262137768709982,0.20978395522905924,-0.5170361854184193,4.19727118890296,22.516999073925035,14.852896643616987,CSOR,us-csor
122,2015M03,42727.0,7150.031783896309,35576.641219442274,0.14801885149842153,-0.12266979289244917,0.2025977946096269,63.15005667441437,-8.78170167630833,71.93175835072907,,3029.856724374904,4120.175059521405,9994.455068492129,7113.794157552833,-0.3457923291346421,0.04204658676798534,0.18122464020096096,0.2656743153126362,-10.513366551728268,1.7316648754203925,18.07965045643141,18.849445784800082,CSOR,us-csor
123,2015M04,42788.0,7137.206533752858,35650.4611315103,0.142755467807687,-0.17937333051213367,0.2074954507725879,60.99466192457476,-12.82525014345083,73.81991206802923,,3021.5685196064182,4115.63801414644,10011.855163815755,7139.030495165694,-0.27355104621971105,-0.11011778163358965,0.17409748910153233,0.354752148486992,-8.288204768485684,-4.537045374965601,17.400095323626374,25.236337612861462,CSOR,us-csor
